Year,Month,Fieldwork,Date,Polling,Publisher,Con,,Lab,,LD,,Con lead,,,Leader:,Con good,Con bad,Con net,Lab good,Lab bad,Lab net,LD good,LD bad,LD net,Question,,Govt good,Govt bad,Govt net,Question
1955,Jun,,,Gallup,News Chron,,,,,,,,,"Non-Gallup figures recaclulated to exclude ""don't know"" and rounded to nearest whole number where required",,,,,,,,,,,,,,,,
,Jul,2-13,,Gallup,News Chron,47.0,,43.0,,9.0,,4.0,,NOP figures only available for Lib + Other,,68.0,,,,,,,,,,,,,,
,Aug,,,Gallup,News Chron,44.5,-2.5,47.5,4.5,7.0,-2.0,-3.0,-7.0,,,,,,,,,,,,,,,,,
,Sep,9-19,,Gallup,News Chron,48.0,3.5,44.0,-3.5,7.0,0.0,4.0,7.0,,,70.0,,,,,,,,,,,,,,
,Oct,19-26,,Gallup,News Chron,46.5,-1.5,44.5,0.5,8.0,1.0,2.0,-2.0,,,63.0,,,,,,,,,,,,,,
,Dec,24-4,,Gallup,News Chron,44.5,-2.0,45.5,1.0,9.0,1.0,-1.0,-3.0,,,61.0,,,,,,,,,,,,,,
,Dec,17-30,,Gallup,News Chron,45.5,1.0,46.5,1.0,7.5,-1.5,-1.0,0.0,,,60.0,,,,,,,,,,,44.0,40.0,4.0,Are you satisfied or dissatisfied with the Government's record to date?
1956,Jan,14-26,,Gallup,News Chron,45.5,0.0,46.5,0.0,7.5,0.0,-1.0,0.0,,,,,,,,,,,,,,,,,
,Feb,11-20,,Gallup,News Chron,44.0,-1.5,46.0,-0.5,9.0,1.5,-2.0,-1.0,,,50.0,,,,,,,,,,,,,,
,Apr,24-4,,Gallup,News Chron,44.5,0.5,47.5,1.5,7.0,-2.0,-3.0,-1.0,,,45.0,,,,,,,,,,,,,,
,Apr,20-29,,Gallup,News Chron,43.0,-1.5,48.0,0.5,8.0,1.0,-5.0,-2.0,,,41.0,,,,,,,,,,,34.0,43.0,-9.0,Are you satisfied or dissatisfied with the Government's record to date?
,May,19-27,,Gallup,News Chron,43.0,0.0,47.0,-1.0,9.0,1.0,-4.0,1.0,,,54.0,,,,,,,,,,,40.0,45.0,-5.0,Are you satisfied or dissatisfied with the Government's record to date?
,Jun,,,Gallup,News Chron,,,,,,,,,Poll conducted but results lost by Gallup,,,,,,,,,,,,,,,,
,Jul,13-23,,Gallup,News Chron,42.0,,49.0,,8.0,,-7.0,,,,50.0,,,,,,,,,,,36.0,46.0,-10.0,Are you satisfied or dissatisfied with the Government's record to date?
,Aug,16-24,,Gallup,News Chron,43.5,1.5,49.5,0.5,6.0,-2.0,-6.0,1.0,,,,,,,,,,,,,,,,,
,Sep,7-18,,Gallup,News Chron,43.0,-0.5,46.5,-3.0,10.0,4.0,-3.5,2.5,,,51.0,,,,,,,,,,,,,,
,Oct,,,Gallup,News Chron,42.5,-0.5,47.0,0.5,9.5,-0.5,-4.5,-1.0,,,47.0,,,,,,,,,,,,,,
,Nov,10-11,,Gallup,News Chron,46.0,3.5,45.0,-2.0,8.0,-1.5,1.0,5.5,,,52.0,,,,,,,,,,,,,,
,Nov,22-25,,Gallup,News Chron,45.0,-1.0,46.0,1.0,8.5,0.8,-1.0,-2.0,,,,,,,,,,,,,,,,,
,Dec,1-2,,Gallup,News Chron,45.0,0.0,46.0,0.0,8.0,-0.8,-1.0,0.0,,,,,,,,,,,,,,,,,
1957,Jan,12-13,,Gallup,News Chron,43.5,-1.5,48.5,2.5,7.0,-1.0,-5.0,-4.0,,,50.0,,,,,,,,,,,,,,
,Feb,,,Gallup,News Chron,42.0,-1.5,48.0,-0.5,8.5,1.5,-6.0,-1.0,,,,,,,,,,,,,,,,,
,Mar,15-22,,Gallup,News Chron,40.0,-2.0,51.5,3.5,7.5,-1.0,-11.5,-5.5,,,45.0,,,,,,,,,,,,,,
,Apr,12-16,,Gallup,News Chron,41.0,1.0,51.0,-0.5,7.0,-0.5,-10.0,1.5,,,44.0,,,,,,,,,,,,,,
,Jun,24-1,,Gallup,News Chron,41.5,0.5,50.0,-1.0,7.5,0.5,-8.5,1.5,,,54.0,,,,,,,,,,,,,,
,Jun,,,Gallup,News Chron,,,,,,,,,Poll conducted but results lost by Gallup,,,,,,,,,,,,,,,,
,Jul,5-11,,Gallup,News Chron,41.5,,49.5,,8.0,,-8.0,,,,,,,,,,,,,,,,,,
,Aug,16-27,,Gallup,News Chron,41.5,0.0,49.0,-0.5,8.5,0.5,-7.5,0.5,,,,,,,,,,,,,,,,,
,Sep,29-10,,Gallup,News Chron,40.5,-1.0,48.5,-0.5,10.0,1.5,-8.0,-0.5,,,,,,,,,,,,,,,,,
,Sep,19-25,,Gallup,News Chron,33.5,-7.0,52.0,3.5,14.0,4.0,-18.5,-10.5,,,44.0,,,,,,,,,,,,,,
,Oct,4-8,,Gallup,News Chron,37.0,3.5,49.0,-3.0,13.0,-1.0,-12.0,6.5,,,30.0,,,,,,,,,,,37.0,42.0,-5.0,Are you satisfied or dissatisfied with the Government's record to date?
,Nov,2-6,,Gallup,News Chron,36.0,-1.0,48.5,-0.5,14.5,1.5,-12.5,-0.5,,,39.0,,,,,,,,,,,,,,
,Nov,22-26,,Gallup,News Chron,38.5,2.5,49.0,0.5,12.0,-2.5,-10.5,2.0,,,,,,,,,,,,,,,,,
,Dec,,,Gallup,News Chron,41.5,3.0,47.5,-1.5,9.5,-2.5,-6.0,4.5,,,,,,,,,,,,,,,,,
1958,Jan,17-23,,Gallup,News Chron,40.0,-1.5,47.5,0.0,12.0,2.5,-7.5,-1.5,,,46.0,,,,,,,,,,,38.0,42.0,-4.0,Are you satisfied or dissatisfied with the Government's record to date?
,Feb,14-19,,Gallup,News Chron,36.0,-4.0,44.5,-3.0,18.5,6.5,-8.5,-1.0,,,35.0,,,,,,,,,,,,,,
,Mar,,,Gallup,News Chron,,,,,,,,,Poll conducted but results lost by Gallup,,,,,,,,,,,,,,,,
,Apr,19-23,,Gallup,News Chron,38.0,,46.5,,15.0,,-8.5,,,,37.0,,,,,,,,,,,,,,
,May,3-7,,Gallup,News Chron,34.0,-4.0,47.0,0.5,19.0,4.0,-13.0,-4.5,,,37.0,,,,,,,,,,,,,,
,May,30-6,,Gallup,News Chron,39.0,5.0,45.5,-1.5,15.0,-4.0,-6.5,6.5,,,,,,,,,,,,,,30.0,43.0,-13.0,Are you satisfied or dissatisfied with the Government's record to date?
,Jun,20-25,,Gallup,News Chron,39.5,0.5,43.0,-2.5,17.0,2.0,-3.5,3.0,,,50.0,,,,,,,,,,,,,,
,Jul,,,Gallup,News Chron,,,,,,,,,Poll conducted but results lost by Gallup,,,,,,,,,,,,,,,,
,Aug,1-6,,Gallup,News Chron,42.5,,42.0,,15.0,,0.5,,,,53.0,,,,,,,,,,,41.0,35.0,6.0,Are you satisfied or dissatisfied with the Government's record to date?
,Sep,19-23,,Gallup,News Chron,44.0,1.5,43.0,1.0,13.0,-2.0,1.0,0.5,,,55.0,,,,,,,,,,,,,,
