Year,Month,Fieldwork,Date,Polling,Publisher,Con,,Lab,,LD,,Referendum,,Con lead,,,Leader:,Con good,Con bad,Con net,Lab good,Lab bad,Lab net,LD good,LD bad,LD net,Question,Con Best PM,Lab Best PM,LD Best PM,Question,Govt good,Govt bad,Govt net,Question
1992,Apr,10-11,,ASL,,42.0,,36.0,,18.0,,,,6.0,,Phone,,,,,,,,,,,,,,,,,,,
,Apr,10-12,,Gallup,,39.0,,38.0,,19.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
,Apr,25-28?,3,MORI,ST,43.0,,38.0,,16.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,
,Apr,15-16,19,Harris,OB,44.0,,36.0,,17.0,,,,8.0,,,,,,,,,,,,,,,,,,,,,
,Apr,25-28,,MORI,,39.0,-4.0,37.0,-1.0,18.0,2.0,,,2.0,-3.0,,,,,,,,,,,,,,,,,,,,
,Apr,29-4,,Gallup,,41.5,2.5,39.0,1.0,16.5,-2.5,,,2.5,1.5,,,,,,,,,,,,,,,,,,,,
,May,8-9,13,ICM,GU,46.0,,36.0,,14.0,,,,10.0,,,,,,,,,,,,,,,,,,,,,
,May,13-14,17,Harris,OB,46.0,2.0,37.0,1.0,13.0,-4.0,,,9.0,1.0,,,,,,,,,,,,,,,,,,,,
,May,15-17,29,ASL,,45.0,3.0,37.0,1.0,13.0,-6.0,,,8.0,10.0,Phone,,,,,,,,,,,,,,,,,,,
,May,21-26,31,MORI,ST,43.0,4.0,38.0,1.0,16.0,-2.0,,,5.0,3.0,,,,,,,,,,,,,,,,,,,,
,May,28-1,,Gallup,,44.5,3.0,36.5,-2.5,16.5,0.0,,,8.0,5.5,,,,,,,,,,,,,,,,,,,,
,May,29/4-1/6,,G9000,,,,,,,,,,,,,,54.3,35.4,18.9,48.6,22.8,25.8,65.5,20.8,44.7,,51.0,18.0,19.0,,36.7,48.7,-12.0,Are you satisfied or dissatisfied with the Government's record to date?
,Jun,5-6,10,ICM,GU,44.0,-2.0,36.0,0.0,13.0,-1.0,,,8.0,-2.0,,,,,,,,,,,,,,,,,,,,
,Jun,17-18,21,Harris,OB,46.0,0.0,36.0,-1.0,15.0,2.0,,,10.0,1.0,,,,,,,,,,,,,,,,,,,,
,Jun,19-23,28,MORI,ST,42.0,-1.0,39.0,1.0,16.0,0.0,,,3.0,-2.0,,,,,,,,,,,,,,,,,,,,
