Year,Month,Fieldwork,,Published,Polling,Publisher,Con,,Lab,,LD,,Con lead,,,,,,,,Leader:,Con good,Con bad,Con net,Lab good,Lab bad,Lab net,LD good,LD bad,LD net,Question,Con Best PM,Lab Best PM,LD Best PM,Question,Govt good,Govt bad,Govt net,Question
2001,Jun,21-26,21/6/01,,MORI,,25.0,,49.0,,19.0,,-24.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,13-14,13/7/01,,ICM,GU,30.0,,46.0,,18.0,,-16.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,19-23,19/7/01,26,MORI,TT,25.0,0.0,52.0,3.0,17.0,-2.0,-27.0,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,20-5,20/7/01,6,ICM,R4,29.0,-1.0,53.0,7.0,14.0,-4.0,-24.0,-8.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,9-14,9/8/01,10,MORI,GMB,23.0,-2.0,53.0,1.0,19.0,2.0,-30.0,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,17-19,17/8/01,21,ICM,GU,30.0,1.0,46.0,-7.0,17.0,3.0,-16.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,23-28,23/8/01,30,MORI,TT,25.0,2.0,53.0,0.0,16.0,-3.0,-28.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Sept,14-16,14/9/01,,ICM,GU,29.0,-1.0,46.0,0.0,20.0,3.0,-17.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Sept,20-25,20/9/01,28,MORI,TT,27.0,2.0,53.0,0.0,15.0,-1.0,-26.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Oct,18-22,18/10/01,25,MORI,TT,25.0,-2.0,57.0,4.0,13.0,-2.0,-32.0,-6.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Oct,19-20,19/10/01,,ICM,GU,29.0,0.0,47.0,1.0,19.0,-1.0,-18.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Nov,16-18,16/11/01,,ICM,GU,29.0,0.0,46.0,-1.0,19.0,0.0,-17.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Nov,22-27,22/11/01,28,MORI,TT,25.0,0.0,56.0,-1.0,15.0,2.0,-31.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Dec,14-16,14/12/01,18,ICM,GU,29.0,0.0,44.0,-2.0,20.0,1.0,-15.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Jan,11-12,11/1/02,13,YouGov,MoS,30.0,,42.0,,21.0,,-12.0,,,,,,,,,30.0,60.0,-30.0,62.0,37.0,25.0,57.0,31.0,26.0,Do you think (name) is doing well or badly as (position)?,,,,,,,,
,Jan,18-20,18/1/02,22,ICM,GU,30.0,1.0,45.0,1.0,19.0,-1.0,-15.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Jan,24-28,23/1/02,31,MORI,TT,27.0,2.0,51.0,-5.0,16.0,1.0,-24.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Feb,15-17,15/2/02,19,ICM,GU,30.0,0.0,47.0,2.0,18.0,-1.0,-17.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Feb,21-26,21/2/02,28,MORI,TT,28.0,1.0,51.0,0.0,16.0,0.0,-23.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Mar,5-7,5/3/02,10,YouGov,MoS,31.0,1.0,42.0,0.0,20.0,-1.0,-11.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
