Year,Month,Fieldwork,,Published,Polling,Publisher,Con,,Lab,,LD,,Green,,BXP/Reform,,Ukip,,Con lead,,,,,Leader:,Con good,Con bad,Con net,Lab good,Lab bad,Lab net,LD good,LD bad,LD net,BXP/Ref good,BXP/Ref bad,BXP/Ref net,Grn good,Grn bad,Grn net,Question,Con Best PM,Lab Best PM,LD Best PM,Green Best PM,BXP Best PM,Question,Govt good,Govt bad,Govt net,Question,Wisdom of crowds:,Con,Lab,LD
2019,Dec,13-14,13/12/19,17,YouGov,,,,,,,,,,,,,,,,Internet,,,,41.0,52.0,-11.0,21.0,71.0,-50.0,19.0,63.0,-44.0,27.0,63.0,-36.0,,,,Do you have a favourable or unfavourable opinion of…,,,,,,,,,,,,,,
,Dec,14-16,14/12/19,,YouGov,,,,,,,,,,,,,,,,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,53.0,-26.0,Do you approve or disapprove of the Government's record to date?,,,,
,Dec,21-23,21/12/19,,YouGov,,,,,,,,,,,,,,,,Internet,,,,46.0,41.0,5.0,11.0,81.0,-70.0,,,,,,,,,,Do you think X is doing well or badly as Y?,,,,,,,34.0,46.0,-12.0,Do you approve or disapprove of the Government's record to date?,,,,
,Dec,28-30,28/12/19,,YouGov,,,,,,,,,,,,,,,,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,44.0,-12.0,Do you approve or disapprove of the Government's record to date?,,,,
2020,Jan,4-6,4/1/20,,YouGov,,,,,,,,,,,,,,,,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,45.0,-15.0,Do you approve or disapprove of the Government's record to date?,,,,
,Jan,5-6,5/1/20,,YouGov,,,,,,,,,,,,,,,,Internet,,,,41.0,49.0,-8.0,19.0,70.0,-51.0,,,,,,,,,,Do you have a favourable or unfavourable opinion of…,,,,,,,,,,,,,,
,Jan,8-10,8/1/20,13,BMG,Ind,44.0,,29.0,,11.0,,5.0,,4.0,,2.0,,15.0,,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jan,11-13,11/1/20,,YouGov,,,,,,,,,,,,,,,,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,42.0,-9.0,Do you approve or disapprove of the Government's record to date?,,,,
,Jan,15-17,15/1/20,18,Opinium,Ob,47.0,,30.0,,9.0,,4.0,,3.0,,0.0,,17.0,,Internet,Opinium polls UK but exclude NI from questions for voting intention results,,,43.0,36.0,7.0,19.0,59.0,-40.0,14.0,23.0,-9.0,22.0,42.0,-20.0,,,,To what extent do you approve or disapprove of the way X is handling his job as Y,41.0,14.0,,,,"Which, if any, of the following people do you think would be the best prime minister?",,,,,,,,
,Jan,18-20,18/1/20,24,YouGov,,,,,,,,,,,,,,,,Internet,,,,42.0,43.0,-1.0,8.0,80.0,-72.0,,,,,,,,,,Do you think X is doing well or badly as Y?,,,,,,,32.0,45.0,-13.0,Do you approve or disapprove of the Government's record to date?,,,,
,Jan,23-24,23/1/20,,YouGov,,,,,,,,,,,,,,,,Internet,,,,41.0,49.0,-8.0,18.0,70.0,-52.0,,,,,,,,,,Do you have a favourable or unfavourable opinion of…,,,,,,,,,,,,,,
,Jan,24-26,24/1/20,28,YouGov,TT,49.0,,29.0,,10.0,,4.0,,2.0,,,,20.0,,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jan,25-27,25/1/20,,YouGov,,,,,,,,,,,,,,,,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,41.0,-8.0,Do you approve or disapprove of the Government's record to date?,,,,
,Jan,28-29,28/1/20,,Ipsos,,,,,,,,,,,,,,,,Internet,,,,37.0,45.0,-8.0,20.0,66.0,-46.0,,,,,,,,,,To what extent if at all do you have favourable or unfavourable opinion of…,,,,,,,,,,,,,,
,Jan,30-31,30/1/20,31,Survation,,44.0,,33.0,,10.0,,3.0,,3.0,,,,11.0,,Internet,,,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jan,31-2,31/1/20,5,YouGov,TT,49.0,0.0,30.0,1.0,8.0,-2.0,5.0,1.0,2.0,0.0,,,19.0,-1.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jan,31-3,31/1/20,6,Ipsos,ES,47.0,,30.0,,11.0,,5.0,,1.0,,0.0,,17.0,,Phone,,,,47.0,44.0,3.0,16.0,75.0,-59.0,,,,,,,,,,Are you satisfied or dissatisfied with the way X is doing his/her job as…,,,,,,,40.0,50.0,-10.0,Are you satisfied or dissatisfied with the way the Govt is running the country?,,,,
,Feb,1-3,1/2/20,,YouGov,,,,,,,,,,,,,,,,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,42.0,-7.0,Do you approve or disapprove of the Government's record to date?,,,,
,Feb,4-5,4/2/20,6/3,YouGov,,,,,,,,,,,,,,,,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,40.0,-6.0,Do you approve or disapprove of the Government's record to date?,,,,
,Feb,4-7,4/2/20,8,BMG,Ind,41.0,-3.0,29.0,0.0,11.0,0.0,8.0,3.0,3.0,-1.0,2.0,0.0,12.0,-3.0,Internet,,,,46.0,41.0,5.0,20.0,66.0,-46.0,,,,,,,,,,Are you satisfied or dissatisfied with the way X is doing his/her job as…,,,,,,,,,,,,,,
,Feb,8-9,8/2/20,,YouGov,,,,,,,,,,,,,,,,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,42.0,-6.0,Do you approve or disapprove of the Government's record to date?,,,,
,Feb,8-10,8/2/20,14,YouGov,TT,48.0,-1.0,28.0,-2.0,10.0,2.0,6.0,1.0,2.0,0.0,,,20.0,1.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Feb,12-14,12/2/20,15,Opinium,Ob,47.0,0.0,32.0,2.0,7.0,-2.0,4.0,0.0,2.0,-1.0,,,15.0,-2.0,Internet,,,,44.0,36.0,8.0,21.0,59.0,-38.0,14.0,24.0,-10.0,27.0,41.0,-14.0,,,,To what extent do you approve or disapprove of the way X is handling his job as Y,42.0,17.0,,,,"Which, if any, of the following people do you think would be the best prime minister?",,,,,,,,
,Feb,12,12/2/20,,R+W,,49.0,,30.0,,9.0,,5.0,,,,,,19.0,,Internet,,,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Feb,15-17,15/2/20,,YouGov,,,,,,,,,,,,,,,,Internet,,,,48.0,38.0,10.0,9.0,80.0,-71.0,,,,,,,,,,Do you think X is doing well or badly as Y?,,,,,,,34.0,39.0,-5.0,Do you approve or disapprove of the Government's record to date?,,,,
